dataset,case,mean_signed_gap_mean,mean_signed_gap_std,delta_mae_mean,delta_mae_std,pt_rate_mean,pt_rate_std,nt_rate_mean,nt_rate_std,n_users_mean,n_users_std,n_interactions_mean,n_interactions_std
digital,R+T-,-0.3598237395966846,0.04591101694705446,0.1290243627751842,0.03658298994427367,0.2908984731524303,0.04366723323184657,0.6498591792330085,0.05882205212579559,69.0,5.69600249687836,97.6,8.656404180335704
digital,R-T+,0.04454020346026506,0.08185826079009949,-0.028954538532521577,0.021022237752600596,0.5062159999634589,0.014024304694785687,0.4731925830222016,0.0198107000488729,98.7,3.831158803518561,173.5,8.356634091147791
instant,R+T-,-0.5400658490590775,0.07828562973234136,0.23985974671096652,0.04111790139883822,0.28364923054544705,0.026680306627852587,0.707670971106821,0.027917687484462095,51.7,10.078028907810626,65.4,14.781369655376624
instant,R-T+,0.5595893558169819,0.1208805993749269,-0.11093728538265543,0.045670182530702375,0.5593776924565972,0.036223831443415906,0.4262297671251699,0.03781330946585358,49.0,9.3571125650788,62.0,13.114877048604
office,R+T-,-0.3733641980124364,0.035636821603799766,0.1095025567511649,0.04147409308609231,0.36251279302188183,0.05079083015110232,0.6317600989150908,0.04957767454327733,69.9,12.844800071970326,103.6,20.732154307312648
office,R-T+,0.3972957820270532,0.10046417781400532,0.03499950199844519,0.03968564750307346,0.43704142791205636,0.05134853003099466,0.5362451360743894,0.05605655386204375,80.8,10.507140429250958,117.3,19.573508173606033
