dataset,seed,quartile,delta_mae,pt_rate,neutral_rate,nt_rate,n
instant,3407,Q3,0.042041823396394985,0.3922413793103448,0.03771551724137931,0.5700431034482759,928
office,7,Q4,0.07514396401655397,0.40721262208865516,0.011269722013523666,0.5815176558978212,1331
office,7,Q2,0.017849905163072072,0.42674680691209615,0.0067618332081141996,0.5664913598797896,1331
office,7,Q3,0.05191646034556225,0.3804511278195489,0.010526315789473684,0.6090225563909775,1330
office,7,Q1,0.0022211298738360583,0.15702479338842976,0.6581517655897822,0.18482344102178813,1331
office,11,Q4,0.06729326670909627,0.41397445529676935,0.014274981217129978,0.5717505634861006,1331
office,11,Q3,0.04409688182343217,0.40225563909774437,0.006015037593984963,0.5917293233082707,1330
office,11,Q1,0.0016998175299319902,0.1517655897821187,0.6874530428249437,0.16078136739293764,1331
office,11,Q2,0.02270476859284021,0.4049586776859504,0.004507888805409466,0.5905334335086401,1331
office,17,Q4,0.08172551175869111,0.3981968444778362,0.012772351615326822,0.5890308039068369,1331
office,17,Q3,0.06820186027010583,0.3593984962406015,0.006015037593984963,0.6345864661654136,1330
office,17,Q1,0.0032259592160884766,0.18707738542449287,0.5957926371149511,0.21712997746055598,1331
office,17,Q2,0.027145569347779973,0.4019534184823441,0.004507888805409466,0.5935386927122465,1331
office,29,Q1,0.0002602977380100543,0.1217129977460556,0.754320060105184,0.12396694214876033,1331
office,29,Q2,0.01179733838827245,0.44402704733283244,0.0067618332081141996,0.5492111194590533,1331
office,29,Q3,0.041066886070079384,0.39473684210526316,0.005263157894736842,0.6,1330
office,29,Q4,0.06082545161515945,0.4147257700976709,0.009767092411720512,0.5755071374906086,1331
office,42,Q2,0.008755542746528844,0.4628099173553719,0.007513148009015778,0.5296769346356123,1331
office,42,Q1,0.0005516884113773103,0.12922614575507138,0.7257700976709242,0.1450037565740045,1331
office,42,Q4,0.05585299408767208,0.4365138993238167,0.015026296018031555,0.5484598046581518,1331
office,42,Q3,0.004022087011122167,0.48872180451127817,0.005263157894736842,0.5060150375939849,1330
office,53,Q4,0.04709379893330862,0.45154019534184825,0.015777610818933134,0.5326821938392187,1331
office,53,Q1,0.001454720185449655,0.1562734785875282,0.6806912096168295,0.16303531179564237,1331
office,53,Q3,0.029961944343452156,0.42857142857142855,0.005263157894736842,0.5661654135338345,1330
office,53,Q2,0.0076701587344541605,0.45755071374906087,0.007513148009015778,0.5349361382419233,1331
office,71,Q4,0.06146434462222723,0.43125469571750563,0.013523666416228399,0.555221637866266,1331
office,71,Q1,0.0013131543624499652,0.1615326821938392,0.6724267468069121,0.16604057099924868,1331
office,71,Q3,0.014560501019757496,0.4639097744360902,0.015037593984962405,0.5210526315789473,1330
office,71,Q2,0.00021668128909964218,0.49436513899323814,0.0067618332081141996,0.4988730277986476,1331
office,123,Q3,0.029662464615097618,0.42330827067669174,0.007518796992481203,0.5691729323308271,1330
office,123,Q2,0.017923349191334623,0.4154770848985725,0.004507888805409466,0.580015026296018,1331
office,123,Q1,0.0027573260931391956,0.10293012772351616,0.7520661157024794,0.1450037565740045,1331
office,123,Q4,0.06019537543820583,0.4297520661157025,0.018031555221637866,0.5522163786626596,1331
office,2023,Q4,0.043603807889277736,0.4462809917355372,0.015777610818933134,0.5379413974455297,1331
office,2023,Q1,0.0025170012401692548,0.1562734785875282,0.667167543200601,0.17655897821187078,1331
office,2023,Q2,0.006411307382906045,0.47032306536438767,0.004507888805409466,0.5251690458302029,1331
office,2023,Q3,0.017062485128417047,0.46015037593984964,0.0037593984962406013,0.5360902255639097,1330
office,3407,Q3,0.043956183670158674,0.4,0.009774436090225564,0.5902255639097744,1330
office,3407,Q1,0.001969495632879531,0.17655897821187078,0.6243425995492111,0.1990984222389181,1331
office,3407,Q4,0.06591384353537384,0.4019534184823441,0.0202854996243426,0.5777610818933133,1331
office,3407,Q2,0.014688003340849388,0.44102178812922616,0.008264462809917356,0.5507137490608565,1331
digital,7,Q1,0.001418300258509155,0.20086526576019778,0.5784919653893696,0.22064276885043263,1618
digital,7,Q4,-0.03939959403168876,0.5018541409147095,0.030902348578491966,0.4672435105067985,1618
digital,7,Q3,0.00838665042162384,0.46072974644403214,0.021026592455163882,0.518243661100804,1617
digital,7,Q2,0.007329687126192677,0.4721878862793572,0.003708281829419036,0.5241038318912238,1618
digital,11,Q3,0.0322789935764886,0.4137291280148423,0.02040816326530612,0.5658627087198516,1617
digital,11,Q1,0.001992727976352224,0.17799752781211373,0.6242274412855378,0.19777503090234858,1618
digital,11,Q4,-0.008180653724741145,0.47342398022249693,0.022249690976514216,0.5043263288009888,1618
digital,11,Q2,0.014488059893821454,0.44128553770086526,0.006798516687268232,0.5519159456118665,1618
digital,17,Q2,0.008445639766485644,0.45920889987639063,0.015451174289245983,0.5253399258343634,1618
digital,17,Q3,0.025950931367420008,0.42424242424242425,0.032158317872603585,0.5435992578849722,1617
digital,17,Q4,-0.006424810078883794,0.4758961681087763,0.034610630407911,0.4894932014833127,1618
digital,17,Q1,0.002791299881834917,0.21446229913473425,0.5432632880098888,0.242274412855377,1618
digital,29,Q2,0.004569865201400748,0.4796044499381953,0.009270704573547589,0.5111248454882571,1618
digital,29,Q1,0.0022858162450849376,0.173053152039555,0.6260815822002472,0.20086526576019778,1618
digital,29,Q3,0.007581355399236173,0.4557823129251701,0.027210884353741496,0.5170068027210885,1617
digital,29,Q4,-0.047731302061540685,0.5142150803461063,0.022249690976514216,0.4635352286773795,1618
