dataset,seed,case,mean_signed_gap,delta_mae,pt_rate,nt_rate,n_users,n_interactions
digital,7,R+T-,-0.36284164247058687,0.1299014681861514,0.3047619047619048,0.6476190476190476,72,105
digital,7,R-T+,0.18636673485690897,-0.02867074378512128,0.5056818181818182,0.4772727272727273,97,176
digital,11,R-T+,-0.03274126333348891,-0.0336896756116082,0.5058823529411764,0.47058823529411764,97,170
digital,11,R+T-,-0.33249797034509404,0.14729724962686747,0.26804123711340205,0.6804123711340206,68,97
digital,17,R+T-,-0.41691300675675674,0.13654654305260458,0.2702702702702703,0.6216216216216216,73,111
digital,17,R-T+,0.1113165609584832,-0.05351330922997515,0.5031055900621118,0.4720496894409938,91,161
digital,29,R+T-,-0.3786716023269965,0.12197621014653413,0.2857142857142857,0.6530612244897959,73,98
digital,29,R-T+,0.0753013974144345,-0.033767871913455774,0.5297619047619048,0.44047619047619047,100,168
digital,42,R-T+,0.03533240615344438,0.01994702594527783,0.48633879781420764,0.5081967213114754,101,183
digital,42,R+T-,-0.26841456156510574,0.1646529069313636,0.23076923076923078,0.7403846153846154,75,104
digital,53,R-T+,-0.08627083301544193,-0.02393634319305421,0.48823529411764705,0.4764705882352941,102,170
digital,53,R+T-,-0.4284089949666238,0.1378778073252464,0.29591836734693877,0.6836734693877551,73,98
digital,71,R-T+,0.05726004391908645,-0.032044000923633534,0.5056818181818182,0.4772727272727273,97,176
digital,71,R+T-,-0.32400278611616656,0.05688540502028034,0.36363636363636365,0.5795454545454546,64,88
digital,123,R-T+,-0.03820459870086323,-0.037202100644166444,0.5,0.47701149425287354,102,174
digital,123,R+T-,-0.3568272319707004,0.07379838553341952,0.36363636363636365,0.5340909090909091,64,88
digital,2023,R+T-,-0.3747883491145753,0.1598326349721371,0.2524271844660194,0.6796116504854369,71,103
digital,2023,R-T+,0.11011109166516518,-0.05328577364276266,0.5269461077844312,0.4431137724550898,96,167
digital,3407,R-T+,0.02693049468492206,-0.013382592326716378,0.5105263157894737,0.48947368421052634,104,190
digital,3407,R+T-,-0.35487125033424016,0.16147501695723762,0.27380952380952384,0.6785714285714286,57,84
