dataset,coefficient_D,clustered_standard_error,ci_low,ci_high,p_value,base_r2,full_r2,delta_r2,n_interactions,n_users
instant,0.11395468040036241,0.006150729602470423,0.10189925037952038,0.12601011042120444,1.2502557728659802e-76,0.031126205392907114,0.21255178345004921,0.1814255780571421,20310,1308
office,0.07698773066802556,0.0037310429416263706,0.06967488650243787,0.08430057483361324,1.3488406837478784e-94,0.03295722712858096,0.1756258001954183,0.14266857306683733,42710,2112
digital,0.03452815861927641,0.0048288629748199,0.02506358718862941,0.04399273004992341,8.654409068268122e-13,0.036821110042748684,0.05767772191336207,0.020856611870613384,51280,2232
