dataset,heldout_split,eligible_users,rating_stability,tone_stability,rating_tone_cross_correlation,rating_sign_match,tone_sign_match,rho_D_G_mean_all,rho_D_G_std_all,rho_A_M_mean_all,rho_A_M_std_all,rho_D_G_mean_q4,rho_D_G_std_q4,rho_A_M_mean_q4,rho_A_M_std_q4,direction_match_mean,direction_match_std,coefficient_D,clustered_standard_error,ci_low,ci_high,p_value,base_r2,full_r2,delta_r2,n_interactions,n_users
instant,val,1274,0.3958849587500484,0.3416615200071207,0.0681022830305607,0.6650755767700876,0.6161695447409733,0.47630826410878885,0.0837332572682534,0.2169529313157673,0.0465985936177597,0.5286053912851555,0.12786897252070953,0.09090798311987526,0.043272299832188416,0.8283596977712294,0.06654857909224951,0.11395468040036241,0.006150729602470423,0.10189925037952038,0.12601011042120444,1.2502557728659802e-76,0.031126205392907114,0.21255178345004921,0.1814255780571421,20310,1308
office,val,2101,0.3391639484467748,0.37181082530781895,0.10243151202716014,0.6450827653359299,0.6444550214183722,0.4516133337231899,0.04425347669115364,0.19206249059653893,0.0262749438448431,0.48299901817624064,0.07988395355220373,0.1488539752537614,0.04348956628830549,0.827380151393351,0.036070100172539074,0.07698773066802556,0.0037310429416263706,0.06967488650243787,0.08430057483361324,1.3488406837478784e-94,0.03295722712858096,0.1756258001954183,0.14266857306683733,42710,2112
digital,val,2280,0.4732481431483377,0.41792308301884973,0.046656977313693365,0.6957885304659498,0.6486842105263158,0.23481893884639166,0.03926498270852217,0.1269307978964283,0.020513537779634765,0.20032073846592863,0.060424051494607056,0.12563308469914525,0.031201532918771046,0.6327569093189314,0.025996010028582636,0.03452815861927641,0.0048288629748199,0.02506358718862941,0.04399273004992341,8.654409068268122e-13,0.036821110042748684,0.05767772191336207,0.020856611870613384,51280,2232
